Customer,Trade Name,Street,House No.,PostalCode,City,State,Mobile No,Email ID
202297,LITTLE BROTHERS,NIL 6-SARDAR PATEL MARGH CIVIL LINE,NIL,211001,ALLAHABAD,UTTAR PRADESH,9335112924,lit_anu@rediffmail.com
202322,VASUNDHARA TRADERS,NIL SANTKABIR NAGAR,NIL,272125,SANTKABIR NAGAR,UTTAR PRADESH,9919078999,
202333,SUPAR TATA MACHINERY STORE,"NIL THANDI SADAK, CIRCULAR ROAD,",NIL,207123,"KASGANJ,KANSHIRAMNAGAR",UTTAR PRADESH,,
202335,BHAGWATI TRADERS,NIL BULANDSHAR,NIL,203001,BULANDSHAR,UTTAR PRADESH,,
202336,SUPAR TATA MACHINERY STORE,"NIL G.T. ROAD, KURAWALI,",NIL,205265,MAINPURI,UTTAR PRADESH,7454887830,sanchitjain121@gmail.com
202337,NEW TRIVEDI AUTO SPARE PARTS,"NIL SANDI ROAD,HARDOI",NIL,241001,HARDOI,UTTAR PRADESH,9648777739,
202339,HARIOM TRADERS,"NIL KATARA, MOHHALLA,",NIL,207001,ETAH,UTTAR PRADESH,7830767252,hariomtraders676@gmail.com
202340,ARYA LUBRICANTS,"NIL ETAH ROAD ALIGANJ,",NIL,207247,ETAH,UTTAR PRADESH,9411015080,aryalubricants72@gmail.com
202343,SAUBHAGYA AUTOMOBILES,"NIL BADHAIYAVEER, S.P.AWASH ROAD",NIL,228001,SULTANPUR,UTTAR PRADESH,9451136388,
202351,RAJIV MOTORS,NIL CHANDIGARH,NIL,160101,CHANDIGARH,CHANDIGARH,9814735750,rajeevmotor24@gmail.com
202354,KANCHAN AUTOMOBILES,"NIL CIVIL LINES, FATEHPUR",NIL,212601,FATEHPUR,UTTAR PRADESH,9838075151,
202355,VARMA SALES,"NIL 6/6/19,HARI NIWAS , KHAWASPUR",NIL,224001,FAIZABAD,UTTAR PRADESH,,
202356,SHARMA ENTERPRISES,NIL KATHUA,NIL,184102,KATHUA,JAMMU AND KASHMIR,9797360876,arunsharma.cs@hotmail.com
202367,RAVI TRADERS,NIL BASTI,NIL,272001,BASTI,UTTAR PRADESH,9839977555,ravitraders.lku@gmail.com
202374,TANVI ENTERPRISES,NIL THEHSIL AND DISTT. HARMIRPUR,NIL,177020,THEHSIL AND DISTT. HARMIRPUR,HIMACHAL PRADESH,9459451476,honeykhanna.76@gmail.com
202381,GLOBAL ENTERPRISES,Shop No.5 LAKSAR ROAD,Shop No.5,249408,HARIDWAR,UTTARAKHAND,8475009603,globalenter99@gmail.com
202382,PARAS DISTRIBUTORS,"20/14 CHANDER NAGAR ROAD, REST CAMP",20/14,248001,DEHRADUN,UTTARAKHAND,9412055568,anmoljain61846@gmail.com
202384,SATKAR ENTERPRISES,NIL GANGAPUR ROAD,NIL,263153,"RUDRAPUR, UDHAM SINGH NAGAR",UTTARAKHAND,7017575469,satkarenterprises2018@gmail.com
202390,BABA MOTORS,70-B DEHRADUN ROAD,70-B,249201,RISHIKESH,UTTARAKHAND,9837229211,
202394,SACH OIL COMPANY,NIL MUKTSAR,NIL,152101,MUKTSAR,PUNJAB,9478122789,
202397,D.D. LUBES AGENCIES,NIL PANIPAT,NIL,132103,PANIPAT,HARYANA,9896900090,
202398,SINGH AGENCIES,"NIL LAXMI MARKET,",NIL,261001,SITAPUR,UTTAR PRADESH,05862-244640,
202400,GYAN TRACTORS,NIL MAHMUDABAD,NIL,261203,SITAPUR,UTTAR PRADESH,9415053430,rajesh.jain.rj95@gmail.com
202403,BHAGWATI ENTERPRISES,NIL UNA,NIL,177203,UNA,HIMACHAL PRADESH,7018450233,pawankashyap72@gmail.com
202405,MODERN DIESELS,"NIL NEAR GARHWAL CINEMA, GARRAGE RO",NIL,246149,KOTDWAR,UTTARAKHAND,9634845490,
202412,SHRIKUL MOTORS,NIL SAMBA,NIL,181133,SAMBA,JAMMU AND KASHMIR,9086312333,shrikul.motors@gmail.com
202431,ORA INNOVATIONS PRIVATE LIMITED,NIL SAHIBABAD,NIL,201010,GHAZIABAD,UTTAR PRADESH,9811211534,rajeev@orainnovation.in
202450,S. R. LUBRICANTS AND AUTOMOTIVES,NIL PUNJAB,NIL,144012,PUNJAB,PUNJAB,7889257542,
202459,GENUINE AUTO PARTS,NIL SIRSA,NIL,125055,SIRSA,HARYANA,9254705031,
202472,MAA CHIN MASTIKA ENTERPRISES,NIL AMRITSAR,NIL,143001,AMRITSAR,PUNJAB,8283850369,maachinmastikaenterprises@gmail.com
202475,GOYAL SPARES,NIL CHANDIGARH,NIL,160002,CHANDIGARH,CHANDIGARH,9316122424,goyalspares@yahoo.com
202478,JSS TRADERS,NIL HISSAR,NIL,125001,HISSAR,HARYANA,9996720202,gpplsourabh@gmail.com
202480,RAJIV MOTORS WORKSHOP,NIL NH-8.,NIL,122001,GURGAON,HARYANA,9810096823,rmwgrg@gmail.com
202489,BHUSHAN AUTO STORE,NIL SIRSA,NIL,125055,SIRSA,HARYANA,9416305395,
202495,KHUSHBU TRADING COMPANY,NIL LUDHIANA,NIL,141401,KHANNA,PUNJAB,9855377702,khushbu20123@gmail.com
202497,BALLIA AUTOMOBILES,NIL JALALPUR,NIL,277001,BALLIA,UTTAR PRADESH,9268729598,balliaautomobiles@gmail.com
202499,BALA JI KISHAN SEWA KENDRA,"NIL NEAR NEW GALLA MADI,MAIN ROAD C",NIL,284301,JHANSI,UTTAR PRADESH,9628001052,
202502,KING ENTERPRISES,"NIL GUDAHI MANDI, KORA JAHANABAD",NIL,212659,FATHEPUR,UTTAR PRADESH,9335853858,
202504,MODERN AUTOMOBILES,"4/37, GWALIOR ROAD, BALUGANJ","4/37,",282001,AGRA,UTTAR PRADESH,9837087050,
202515,NEY SHATOK MOTOR,NIL LADAKH,NIL,194101,LADAKH,Ladakh,,
202518,CHAMPION MOTOR STORE,NIL NARWAL,NIL,180006,NARWAL,JAMMU AND KASHMIR,9419190792,
202519,BALRAIKE ENTERPRISES,NIL TEHSIL. KOTKHAI,NIL,171202,SHIMLA,HIMACHAL PRADESH,8988229111,balroltaraman111@gmail.com
202525,MOPED HOUSE PRIVATE LIMITED,"11 B.N. ROAD, KAISERBAGH",11,226001,LUCKNOW,UTTAR PRADESH,9839160188,honda@mopedhouse.com
202546,G S CAR CENTRE,NIL NARWAL,NIL,180004,NARWAL,JAMMU AND KASHMIR,9419193186,gurmeetsinghsasan4777@yahoo.com
202551,SOUTH HARYANA MOTORS,,NIL,122103,GURGAON,HARYANA,8930452214,southharyanamotors@gmail.com
202555,PRINCE MOTORS,"NIL NEW AIRPORT ROAD,",NIL,190021,BUDGAM,JAMMU AND KASHMIR,9419011792,
202563,STAR AUTOMOBILE,NIL BADARPUR,NIL,110044,BADARPUR,DELHI,8700541950,rabhi8673@gmail.com
201106,ANAND WELDING MATERIAL & AUTO SPARE,NIL SOHNA,NIL,122103,GURUGRAM,HARYANA,9416341717,
202109,VISOK AUTOMOBILES,NIL D M CHAURAHA HARDOI,NIL,241001,HARDOI,UTTAR PRADESH,9415149052,visokautomobileshdi@gmail.com
202479,MATA HATESHWARI SERVICE CENTER,NIL KOTKHAI,NIL,171202,SHIMLA,HIMACHAL PRADESH,8352039100,rajatchauhanbalraike87@gmail.com
202494,MAA PITAMBRA AUTOMOBILES,NIL JHANSI,NIL,284301,JHANSI,UTTAR PRADESH,7007569284,shailendradangi32@gmail.com
202498,DIXIT TRACTORS AGENCY,NIL RATH,NIL,210431,RATH,UTTAR PRADESH,9919248136,dixittractorsagency@gmail.com
202511,NEW GAURI MOTORS,NIL BANDA,NIL,210001,BANDA,UTTAR PRADESH,9140830341,newgaurimotors123@gmail.com
